gid,region_id,region_name
E14001044,E12000002,North West
E14000949,E12000006,Eastern
S14000002,S92000003,Scotland
E14000995,E12000006,Eastern
W07000045,W92000004,Wales
E14001045,E12000006,Eastern
E14000950,E12000009,South West
S14000003,S92000003,Scotland
E14000996,E12000009,South West
W07000046,W92000004,Wales
E14001046,E12000008,South East
E14000951,E12000006,Eastern
S14000004,S92000003,Scotland
E14000997,E12000008,South East
W07000047,W92000004,Wales
E14001047,E12000008,South East
E14000952,E12000006,Eastern
S14000005,S92000003,Scotland
E14000998,E12000007,London
W07000048,W92000004,Wales
E14001048,E12000008,South East
E14000953,E12000008,South East
S14000006,S92000003,Scotland
E14000999,E12000009,South West
W07000049,W92000004,Wales
E14001049,E12000005,West Midlands
E14000954,E12000009,South West
S14000007,S92000003,Scotland
E14001000,E12000009,South West
W07000050,W92000004,Wales
E14001050,E12000005,West Midlands
E14000955,E12000008,South East
S14000008,S92000003,Scotland
E14001001,E12000009,South West
W07000051,W92000004,Wales
E14001051,E12000005,West Midlands
E14000956,E12000008,South East
S14000009,S92000003,Scotland
E14001002,E12000007,London
W07000052,W92000004,Wales
E14001052,E12000005,West Midlands
E14000957,E12000006,Eastern
S14000010,S92000003,Scotland
E14001003,E12000009,South West
W07000053,W92000004,Wales
E14001053,E12000002,North West
E14000958,E12000002,North West
S14000011,S92000003,Scotland
E14001004,E12000008,South East
W07000054,W92000004,Wales
E14001054,E12000002,North West
E14000959,E12000008,South East
S14000012,S92000003,Scotland
E14001005,E12000007,London
W07000055,W92000004,Wales
E14001055,E12000008,South East
E14001056,E12000008,South East
E14001057,E12000002,North West
E14001058,E12000005,West Midlands
E14001059,E12000002,North West
E14001060,E12000009,South West
E14001061,E12000003,Yorkshire and The Humber
E14001062,E12000003,Yorkshire and The Humber
N06000001,N07000001,Northern Ireland
N06000002,N07000001,Northern Ireland
N06000003,N07000001,Northern Ireland
N06000004,N07000001,Northern Ireland
N06000005,N07000001,Northern Ireland
N06000006,N07000001,Northern Ireland
N06000007,N07000001,Northern Ireland
N06000008,N07000001,Northern Ireland
N06000009,N07000001,Northern Ireland
N06000010,N07000001,Northern Ireland
N06000011,N07000001,Northern Ireland
N06000012,N07000001,Northern Ireland
N06000013,N07000001,Northern Ireland
N06000014,N07000001,Northern Ireland
N06000015,N07000001,Northern Ireland
N06000016,N07000001,Northern Ireland
N06000017,N07000001,Northern Ireland
S14000013,S92000003,Scotland
E14001006,E12000001,North East
W07000056,W92000004,Wales
S14000014,S92000003,Scotland
E14000960,E12000006,Eastern
E14001007,E12000007,London
S14000015,S92000003,Scotland
E14000961,E12000009,South West
W07000057,W92000004,Wales
E14001008,E12000007,London
S14000016,S92000003,Scotland
E14000962,E12000002,North West
W07000058,W92000004,Wales
E14001009,E12000003,Yorkshire and The Humber
S14000017,S92000003,Scotland
E14000963,E12000002,North West
W07000059,W92000004,Wales
E14001010,E12000002,North West
S14000018,S92000003,Scotland
E14000964,E12000009,South West
W07000060,W92000004,Wales
E14001011,E12000005,West Midlands
S14000019,S92000003,Scotland
E14000965,E12000005,West Midlands
W07000061,W92000004,Wales
E14001012,E12000005,West Midlands
S14000020,S92000003,Scotland
E14000966,E12000005,West Midlands
W07000062,W92000004,Wales
E14001013,E12000007,London
S14000021,S92000003,Scotland
E14000967,E12000002,North West
W07000063,W92000004,Wales
E14001014,E12000001,North East
S14000022,S92000003,Scotland
E14000968,E12000006,Eastern
W07000064,W92000004,Wales
E14001015,E12000008,South East
E14000969,E12000002,North West
S14000023,S92000003,Scotland
E14000970,E12000001,North East
W07000065,W92000004,Wales
E14000971,E12000001,North East
S14000024,S92000003,Scotland
E14001016,E12000005,West Midlands
W07000066,W92000004,Wales
S14000025,S92000003,Scotland
E14000972,E12000005,West Midlands
E14001017,E12000002,North West
W07000067,W92000004,Wales
S14000026,S92000003,Scotland
E14000973,E12000005,West Midlands
E14001018,E12000002,North West
W07000068,W92000004,Wales
S14000027,S92000003,Scotland
E14000974,E12000005,West Midlands
E14001019,E12000005,West Midlands
W07000069,W92000004,Wales
S14000028,S92000003,Scotland
E14000975,E12000005,West Midlands
E14001020,E12000001,North East
W07000070,W92000004,Wales
S14000029,S92000003,Scotland
E14000976,E12000005,West Midlands
E14001021,E12000006,Eastern
W07000071,W92000004,Wales
S14000030,S92000003,Scotland
E14000977,E12000005,West Midlands
E14001022,E12000006,Eastern
W07000072,W92000004,Wales
S14000031,S92000003,Scotland
E14000978,E12000007,London
E14001023,E12000008,South East
W07000073,W92000004,Wales
S14000032,S92000003,Scotland
E14000979,E12000002,North West
E14001024,E12000002,North West
W07000074,W92000004,Wales
S14000033,S92000003,Scotland
E14001025,E12000004,East Midlands
W07000075,W92000004,Wales
S14000034,S92000003,Scotland
E14001026,E12000009,South West
W07000076,W92000004,Wales
S14000035,S92000003,Scotland
E14001027,E12000006,Eastern
W07000077,W92000004,Wales
S14000036,S92000003,Scotland
E14001028,E12000003,Yorkshire and The Humber
W07000078,W92000004,Wales
S14000037,S92000003,Scotland
E14001029,E12000005,West Midlands
W07000079,W92000004,Wales
S14000038,S92000003,Scotland
W07000080,W92000004,Wales
S14000039,S92000003,Scotland
S14000040,S92000003,Scotland
S14000041,S92000003,Scotland
S14000042,S92000003,Scotland
S14000043,S92000003,Scotland
S14000044,S92000003,Scotland
S14000045,S92000003,Scotland
S14000046,S92000003,Scotland
S14000047,S92000003,Scotland
S14000048,S92000003,Scotland
S14000049,S92000003,Scotland
